@relation 'max_min_all_fin-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5'

@attribute Fmax numeric
@attribute Fmin numeric
@attribute Mmax numeric
@attribute Mmin numeric
@attribute Class numeric

@data
0.16719,-1.30708,0.113333,0.01039,1
0.27859,-1.35965,0.099533,0.011987,1
0.258887,-1.529543,0.1164,0.0048,1
0.020707,-1.24736,0.112067,0.008077,3
0.02907,-1.223013,0.118967,0.007707,1
0.073453,-1.280283,0.116633,0.003667,1
0.08645,-1.28668,0.129567,0.003877,1
0.01788,-1.259143,0.092467,-0.000563,3
0.198757,-1.271073,0.114533,0.00206,1
0.021147,-1.167067,0.069033,-0.004333,3
0.016647,-1.234603,0.1154,0.011153,1
0.01552,-1.26835,0.103267,0.008237,3
0.015467,-1.22952,0.0946,0.0068,3
0.263273,-1.344667,0.102967,0.01057,2
0.022167,-1.268107,0.1253,0.009233,1
0.010623,-1.235077,0.0973,-0.00514,3
0.200547,-1.2665,0.134033,-0.008823,1
0.222113,-1.28344,0.124133,-0.01257,1
0.097623,-1.2278,0.152167,-0.00377,1
0.050807,-1.248147,0.1372,0.014457,1
0.029893,-1.27547,0.114233,0.021253,3
0.212593,-1.49384,0.191167,0.01779,1
0.260897,-1.393077,0.095633,0.02626,1
0.043847,-1.348113,0.092967,0.04046,1
0.286573,-1.338363,0.0911,0.033167,1
0.05859,-1.28083,0.1084,0.03742,1
0.05336,-1.307693,0.108667,0.033467,1
0.056267,-1.259583,0.1044,0.039137,1
0.060027,-1.34652,0.172367,0.040243,1
0.01604,-1.277287,0.0631,0.001753,3
0.02046,-1.284637,0.076033,0.007763,1
0.01824,-1.154197,0.0905,0.012377,1
0.01811,-1.30912,0.079233,-0.004487,3
0.016233,-1.311757,0.0691,0.011987,3
0.021413,-1.33123,0.072767,0.007407,1
0.025543,-1.454127,0.071367,0.012623,1
0.025367,-1.3386,0.094633,0.009973,1
0.027777,-1.228973,0.101967,0.009237,1
0.028167,-1.26057,0.0379,0.013767,1
0.020213,-1.29988,0.087933,0.00592,1
0.01744,-1.339017,0.0976,0.008673,3
0.013433,-1.25232,0.089767,0.006303,1
0.01209,-1.267547,0.125733,0.000783,1
0.010207,-1.324643,0.113533,0.002993,1
0.0111,-1.27563,0.0653,-0.00024,3
0.011227,-1.21058,0.089867,0.00853,1
0.01195,-1.204507,0.073033,-0.00354,1
0.006,-1.253933,0.102933,-0.003807,1
-0.000877,-1.264423,0.091733,-0.016373,1
